8960.44,8275,8909,9455,9902,11409,0.00101533,0.00098443,60000,60000
9117.26,8402,9043,9569,10068,11711,0.00103463,0.00102329,60000,60000
5.12414e+06,8307,9640,16265,3.1255e+07,4.52671e+07,0.00104711,0.00095439,58062,60000
95226.4,9685,10164,10631,11572,4.45787e+06,0.00115484,0.00115204,59999,60000
4.74851e+06,10146,22034,181811,2.55936e+07,4.18297e+07,0.00102936,0.000947475,70452,75000
38466.6,11798,20956,51380,90287,186615,0.00136486,0.00131297,74995,75000
140400,11056,22761,55983,104727,5.01479e+06,0.00113622,0.0010674,74993,75000
2.51204e+06,13353,14447,15570,8.15101e+06,3.37021e+07,0.00133903,0.00134993,15000,15000
14408.9,13956,14206,14583,15206,17074,0.00139658,0.00138855,15000,15000
1.2791e+06,14059,14367,14925,20514,2.34401e+07,0.00133241,0.00137615,15000,15000
7.19342e+06,137463,469539,5.38307e+06,1.67258e+07,8.05388e+07,0.000901577,0.00082922,47969,75000
1.85432e+08,8.5879e+07,1.53642e+08,2.68741e+08,4.02332e+08,4.65907e+08,0.00185313,0.0010519,28691,105000
7467.4,5848,6499,7384,8616,14368,0.000992532,0.00093627,149894,105000
308654,5792,6476,7867,13359,1.07557e+07,0.000936318,0.000869513,148569,105000
4.52464e+07,1.36837e+06,2.23531e+07,6.49005e+07,1.08613e+08,3.21787e+08,0.00106709,0.000830173,95090,105000
